name,series_id,frame_id,annotator_id,length_px,radius_median_px,signal_mean
p0001_00000001_f0012_4,00000001,f0012,4,12.243,8.246,0.30664
p0001_00000001_f0012_4,00000001,f0012,4,10.243,8.062,0.3625
p0001_00000001_f0012_4,00000001,f0012,4,10.071,7.81,0.41667
p0001_00000001_f0012_4,00000001,f0012,4,2.828,7.81,0.4349
p0001_00000001_f0012_4,00000001,f0012,4,8.485,8.485,0.43973
p0001_00000001_f0012_4,00000001,f0012,4,4.243,9.082,0.45312
p0001_00000001_f0012_4,00000001,f0012,4,7.071,9.874,0.47917
p0001_00000001_f0012_4,00000001,f0012,4,7.071,10.148,0.26693
p0001_00000001_f0012_4,00000001,f0012,4,24.314,9.028,0.44638
p0001_00000001_f0012_4,00000001,f0012,4,5.657,15.0,0.40781
p0001_00000001_f0012_4,00000001,f0012,4,32.142,12.0,0.52748
p0001_00000001_f0012_4,00000001,f0012,4,20.243,5.0,0.48008
p0001_00000001_f0013_1,00000001,f0013,1,39.142,4.472,0.40365
p0001_00000001_f0013_1,00000001,f0013,1,23.071,10.0,0.52379
p0001_00000001_f0013_1,00000001,f0013,1,16.314,5.831,0.40458
p0001_00000001_f0013_1,00000001,f0013,1,31.828,3.0,0.31763
p0001_00000001_f0013_1,00000001,f0013,1,2.828,10.817,0.59115
p0001_00000001_f0013_1,00000001,f0013,1,3.414,5.957,0.32031
p0001_00000001_f0013_1,00000001,f0013,1,4.243,11.532,0.59766
p0001_00000001_f0013_1,00000001,f0013,1,7.243,5.385,0.35045
p0001_00000001_f0013_1,00000001,f0013,1,2.828,12.207,0.59375
p0001_00000001_f0013_1,00000001,f0013,1,3.828,12.765,0.57031
p0001_00000001_f0013_1,00000001,f0013,1,34.556,5.0,0.35736
p0001_00000001_f0013_1,00000001,f0013,1,6.657,12.145,0.55599
p0001_00000001_f0013_1,00000001,f0013,1,2.828,10.817,0.52083
p0001_00000001_f0013_1,00000001,f0013,1,16.071,8.0,0.4
p0001_00000001_f0013_1,00000001,f0013,1,4.828,10.63,0.60156
p0001_00000001_f0013_1,00000001,f0013,1,13.828,8.031,0.55469
p0001_00000001_f0013_1,00000001,f0013,1,55.556,9.0,0.66046
p0001_00000001_f0013_1,00000001,f0013,1,4.243,4.243,0.38086
p0001_00000001_f0013_1,00000001,f0013,1,2.828,5.385,0.43229
p0001_00000001_f0013_1,00000001,f0013,1,36.799,7.071,0.68286
p0001_00000001_f0013_4,00000001,f0013,4,23.828,5.0,0.44531
p0001_00000001_f0013_4,00000001,f0013,4,27.485,8.062,0.50361
p0001_00000001_f0013_4,00000001,f0013,4,20.556,4.243,0.44026
p0001_00000001_f0013_4,00000001,f0013,4,5.828,6.041,0.46484
p0001_00000001_f0013_4,00000001,f0013,4,10.657,5.831,0.42734
p0001_00000001_f0013_4,00000001,f0013,4,2.828,10.296,0.6224
p0001_00000001_f0013_4,00000001,f0013,4,5.657,12.042,0.625
p0001_00000001_f0013_4,00000001,f0013,4,7.071,13.227,0.55469
p0001_00000001_f0013_4,00000001,f0013,4,10.485,12.369,0.51997
p0001_00000001_f0013_4,00000001,f0013,4,4.243,10.533,0.43164
p0001_00000001_f0013_4,00000001,f0013,4,15.657,9.0,0.48646
p0001_00000001_f0013_4,00000001,f0013,4,10.657,7.448,0.525
