track_id,broad_type,node_types,support_frames,observations,first_frame,last_frame,center_r,center_c,mean_confidence,stable
1,bifurcation,bifurcation,2,2,13,15,159.5,256.5,0.987,False
2,artifact,short_branch_artifact,1,1,14,14,162.0,249.0,0.6042,False
3,bifurcation,bifurcation,1,1,14,14,225.0,184.0,0.992,False
4,artifact,short_branch_artifact,1,1,15,15,177.0,307.0,0.5986,False
5,artifact,short_branch_artifact,1,1,15,15,185.0,307.0,0.5548,False
6,artifact,short_branch_artifact,1,1,15,15,187.0,281.0,0.6427,False
7,artifact,short_branch_artifact,1,1,15,15,215.0,173.0,0.5907,False
8,artifact,short_branch_artifact,3,3,15,17,243.67,156.33,0.6254,True
9,artifact,short_branch_artifact,2,2,15,16,255.0,194.0,0.6158,False
10,artifact,short_branch_artifact,2,2,16,17,238.5,181.5,0.6227,False
11,artifact,short_branch_artifact,10,10,16,25,253.5,202.2,0.5955,True
12,bifurcation,bifurcation,2,2,16,17,181.0,282.5,1.0,False
13,bifurcation,bifurcation,3,3,16,19,197.67,297.33,0.997,True
14,crossing_or_overlap,crossing_or_overlap,1,1,16,16,185.0,295.0,0.6594,False
15,uncertain,uncertain_high_order_branch,1,1,16,16,192.0,317.0,0.7036,False
16,artifact,short_branch_artifact,1,1,17,17,192.0,330.0,0.4821,False
17,artifact,short_branch_artifact,7,7,17,25,202.14,325.29,0.5914,True
18,artifact,short_branch_artifact,9,9,17,26,215.78,315.78,0.5869,True
19,artifact,short_branch_artifact,6,6,17,25,210.0,319.5,0.6043,True
20,artifact,short_branch_artifact,1,1,17,17,254.0,174.0,0.6325,False
21,artifact,short_branch_artifact,1,1,17,17,256.0,166.0,0.6188,False
22,bifurcation,bifurcation,2,2,17,18,197.5,366.5,0.9432,False
23,bifurcation,bifurcation,2,2,17,18,279.5,220.5,0.9478,False
24,artifact,short_branch_artifact,3,3,18,25,259.33,234.0,0.5903,True
25,bifurcation,bifurcation,1,1,18,18,203.0,341.0,1.0,False
26,bifurcation,bifurcation,7,7,18,26,238.14,308.0,0.9757,True
27,artifact,short_branch_artifact,3,3,19,21,200.33,379.33,0.5946,True
28,artifact,short_branch_artifact,7,7,19,26,211.43,346.0,0.5687,True
29,artifact,short_branch_artifact,5,5,19,25,205.6,371.6,0.5852,True
30,artifact,short_branch_artifact,2,2,19,20,280.5,323.0,0.6,False
31,artifact,short_branch_artifact,6,6,19,24,297.67,228.67,0.6103,True
32,crossing_or_overlap,crossing_or_overlap,3,3,19,21,207.67,337.67,0.78,True
33,uncertain,uncertain_complex_junction,1,1,19,19,206.0,348.0,0.6743,False
34,artifact,short_branch_artifact,6,6,20,26,207.17,289.33,0.6071,True
35,artifact,short_branch_artifact,1,1,20,20,291.0,321.0,0.5821,False
36,artifact,short_branch_artifact,3,3,20,24,300.33,309.33,0.6053,True
37,artifact,short_branch_artifact,5,5,20,26,292.6,296.4,0.5852,True
38,bifurcation,bifurcation,1,1,20,20,259.0,241.0,0.9925,False
39,bifurcation,bifurcation,1,1,20,20,260.0,315.0,1.0,False
40,bifurcation,bifurcation,1,1,20,20,267.0,197.0,0.8713,False
41,crossing_or_overlap,crossing_or_overlap,1,1,20,20,212.0,324.0,0.7345,False
42,artifact,short_branch_artifact,4,4,21,24,205.75,368.0,0.5829,True
43,artifact,short_branch_artifact,1,1,21,21,313.0,340.0,0.6345,False
44,artifact,short_branch_artifact,3,3,21,23,321.67,324.33,0.5728,True
45,artifact,short_branch_artifact,1,1,21,21,394.0,294.0,0.6378,False
46,artifact,short_branch_artifact,1,1,21,21,394.0,299.0,0.6193,False
47,artifact,short_branch_artifact,1,1,21,21,400.0,298.0,0.63,False
48,bifurcation,bifurcation,1,1,21,21,275.0,332.0,0.7306,False
49,bifurcation,bifurcation,1,1,21,21,344.0,402.0,0.9419,False
50,bifurcation,bifurcation,1,1,21,21,349.0,310.0,0.8505,False
51,crossing_or_overlap,crossing_or_overlap,1,1,21,21,304.0,318.0,0.7844,False
52,artifact,short_branch_artifact,4,4,22,26,220.5,299.0,0.5884,True
53,artifact,short_branch_artifact,3,3,22,26,229.33,305.67,0.6067,True
54,artifact,short_branch_artifact,2,2,22,23,221.5,371.0,0.5474,False
55,artifact,short_branch_artifact,2,2,22,23,218.0,420.0,0.625,False
56,artifact,short_branch_artifact,3,3,22,24,227.67,319.67,0.6075,True
57,artifact,short_branch_artifact,4,4,22,26,268.75,284.75,0.6306,True
58,artifact,short_branch_artifact,1,1,22,22,322.0,318.0,0.5931,False
59,artifact,short_branch_artifact,2,2,22,23,331.5,315.5,0.5792,False
60,artifact,short_branch_artifact,4,4,22,26,344.0,306.25,0.5898,True
