name,frame_num,raw_bifurcation,crossing_or_overlap,artifact,uncertain,stable_bifurcation
p0004_00000004_f0004_3,4,0,0,1,0,0
p0004_00000004_f0005_3,5,0,0,2,0,0
p0004_00000004_f0006_3,6,1,0,2,0,0
p0004_00000004_f0007_3,7,2,0,1,0,2
p0004_00000004_f0008_3,8,1,0,2,0,1
p0004_00000004_f0009_3,9,1,0,2,0,1
p0004_00000004_f0010_3,10,3,0,1,0,2
p0004_00000004_f0011_3,11,3,0,2,0,2
p0004_00000004_f0012_3,12,3,0,2,0,3
p0004_00000004_f0013_3,13,3,0,3,0,3
p0004_00000004_f0014_3,14,4,0,4,0,4
p0004_00000004_f0015_3,15,2,0,4,0,2
p0004_00000004_f0016_3,16,2,0,4,0,2
p0004_00000004_f0017_3,17,3,1,4,0,2
p0004_00000004_f0018_3,18,1,0,6,0,0
p0004_00000004_f0019_3,19,1,0,4,0,1
p0004_00000004_f0020_3,20,1,0,2,0,1
p0004_00000004_f0021_3,21,3,0,0,0,2
p0004_00000004_f0022_3,22,1,0,1,0,1
p0004_00000004_f0023_3,23,1,0,1,0,1
p0004_00000004_f0024_3,24,2,0,3,0,2
p0004_00000004_f0025_3,25,4,0,1,0,2
p0004_00000004_f0026_3,26,2,0,3,0,2
p0004_00000004_f0027_3,27,3,0,2,0,2
