group,frames,observations,tracks,stable_tracks,stable_bifurcation_tracks,raw_bifurcation_total,stable_bifurcation_observations,plot,track_map
p0001_00000001_1,13,572,401,42,4,90,12,3d/outputs_graph_analysis/temporal_junctions/p0001_00000001_1_temporal_junctions.png,3d/outputs_graph_analysis/temporal_junctions/p0001_00000001_1_stable_track_map.png
p0001_00000001_4,15,289,146,34,6,66,22,3d/outputs_graph_analysis/temporal_junctions/p0001_00000001_4_temporal_junctions.png,3d/outputs_graph_analysis/temporal_junctions/p0001_00000001_4_stable_track_map.png
p0001_00000002_1,10,632,450,37,0,69,0,3d/outputs_graph_analysis/temporal_junctions/p0001_00000002_1_temporal_junctions.png,3d/outputs_graph_analysis/temporal_junctions/p0001_00000002_1_stable_track_map.png
p0001_00000003_1,7,197,131,18,0,33,0,3d/outputs_graph_analysis/temporal_junctions/p0001_00000003_1_temporal_junctions.png,3d/outputs_graph_analysis/temporal_junctions/p0001_00000003_1_stable_track_map.png
p0001_00000004_1,11,126,103,4,0,15,0,3d/outputs_graph_analysis/temporal_junctions/p0001_00000004_1_temporal_junctions.png,3d/outputs_graph_analysis/temporal_junctions/p0001_00000004_1_stable_track_map.png
p0003_00000001_7,11,76,43,8,1,12,3,3d/outputs_graph_analysis/temporal_junctions/p0003_00000001_7_temporal_junctions.png,3d/outputs_graph_analysis/temporal_junctions/p0003_00000001_7_stable_track_map.png
p0004_00000003_3,50,447,150,62,19,125,86,3d/outputs_graph_analysis/temporal_junctions/p0004_00000003_3_temporal_junctions.png,3d/outputs_graph_analysis/temporal_junctions/p0004_00000003_3_stable_track_map.png
p0004_00000003_6,27,301,125,37,4,58,19,3d/outputs_graph_analysis/temporal_junctions/p0004_00000003_6_temporal_junctions.png,3d/outputs_graph_analysis/temporal_junctions/p0004_00000003_6_stable_track_map.png
p0004_00000004_3,24,105,39,17,8,47,38,3d/outputs_graph_analysis/temporal_junctions/p0004_00000004_3_temporal_junctions.png,3d/outputs_graph_analysis/temporal_junctions/p0004_00000004_3_stable_track_map.png
p0005_00000001_8,25,386,172,50,10,89,52,3d/outputs_graph_analysis/temporal_junctions/p0005_00000001_8_temporal_junctions.png,3d/outputs_graph_analysis/temporal_junctions/p0005_00000001_8_stable_track_map.png
p0006_00000001_2,23,139,84,13,1,47,3,3d/outputs_graph_analysis/temporal_junctions/p0006_00000001_2_temporal_junctions.png,3d/outputs_graph_analysis/temporal_junctions/p0006_00000001_2_stable_track_map.png
p0006_00000001_5,41,1145,521,140,14,174,53,3d/outputs_graph_analysis/temporal_junctions/p0006_00000001_5_temporal_junctions.png,3d/outputs_graph_analysis/temporal_junctions/p0006_00000001_5_stable_track_map.png
p0006_00000002_5,40,1063,521,123,8,136,28,3d/outputs_graph_analysis/temporal_junctions/p0006_00000002_5_temporal_junctions.png,3d/outputs_graph_analysis/temporal_junctions/p0006_00000002_5_stable_track_map.png
